Field name;Area;Status;Disc. year;Orig. res.;Rem. res.;Prod. start;Operator
AASTA HANSTEEN;Norwegian Sea;Producing;1997;58,62;33,9;16.12.2018;Equinor Energy AS
ALBUSKJELL;North Sea;Shut down;1972;24,76;0;26.05.1979;ConocoPhillips Skandinavia AS
ALVE;Norwegian Sea;Producing;1990;16,09;3,62;19.03.2009;Equinor Energy AS
ALVHEIM;North Sea;Producing;1998;75,14;20,77;08.06.2008;Aker BP ASA
ATLA;North Sea;Producing;2010;1,89;0;07.10.2012;TotalEnergies EP Norge AS
BALDER;North Sea;Producing;1967;110,14;35,29;02.10.1999;VOr Energi ASA
BAUGE;Norwegian Sea;Approved for production;2013;7,84;7,84;null;Equinor Energy AS
BLANE;North Sea;Producing;1989;0,89;0,07;12.09.2007;Repsol Norge AS
BRAGE;North Sea;Producing;1980;69,71;2,76;23.09.1993;Wintershall Dea Norge AS
BREIDABLIKK;North Sea;Approved for production;1992;30,46;30,46;null;Equinor Energy AS
BRYNHILD;North Sea;Shut down;1992;0,49;0;24.12.2014;null
BYRDING;North Sea;Producing;2005;1,97;0,62;12.07.2017;Equinor Energy AS
BOYLA;North Sea;Producing;2009;2,81;0,4;19.01.2015;Aker BP ASA
COD;North Sea;Shut down;1968;11,15;0;26.12.1977;ConocoPhillips Skandinavia AS
DRAUGEN;Norwegian Sea;Producing;1984;160,33;9,97;19.10.1993;OKEA ASA
DUVA;North Sea;Producing;2016;11,44;10,84;22.08.2021;Neptune Energy Norge AS
DVALIN;Norwegian Sea;Producing;2010;18,81;18,8;23.11.2020;Wintershall Dea Norge AS
EDDA;North Sea;Shut down;1972;7,2;0;02.12.1979;ConocoPhillips Skandinavia AS
EDVARD GRIEG;North Sea;Producing;2007;60,45;25,85;28.11.2015;Lundin Energy Norway AS
EKOFISK;North Sea;Producing;1969;718,88;48,46;15.06.1971;ConocoPhillips Skandinavia AS
ELDFISK;North Sea;Producing;1970;192,23;19,59;08.08.1979;ConocoPhillips Skandinavia AS
EMBLA;North Sea;Producing;1988;19,06;0,95;12.05.1993;ConocoPhillips Skandinavia AS
ENOCH;North Sea;Producing;null;0,39;0,03;31.05.2007;null
FENJA;Norwegian Sea;Approved for production;2014;9,66;9,66;null;Neptune Energy Norge AS
FLYNDRE;North Sea;Producing;1974;0,1;0,03;26.03.2017;null
FRAM;North Sea;Producing;1990;64,15;13,49;02.10.2003;Equinor Energy AS
FRAM H-NORD;North Sea;Producing;2007;0,69;0,08;06.09.2014;Equinor Energy AS
FRIGG;North Sea;Shut down;1971;116,66;0;13.09.1977;Equinor Energy AS
FROY;North Sea;Shut down;1987;7,27;0;15.05.1995;Aker BP ASA
GAUPE;North Sea;Shut down;1985;0,77;0;31.03.2012;A/S Norske Shell
GIMLE;North Sea;Producing;2004;5,08;0,85;19.05.2006;Equinor Energy AS
GINA KROG;North Sea;Producing;1978;29,29;18,87;30.06.2017;Equinor Energy AS
GJOA;North Sea;Producing;1989;75,94;9,7;07.11.2010;Neptune Energy Norge AS
GLITNE;North Sea;Shut down;1995;8,88;0;29.08.2001;Equinor Energy AS
GOLIAT;Barents Sea;Producing;2000;31,36;15,54;12.03.2016;VOr Energi ASA
GRANE;North Sea;Producing;1991;151,29;20,15;23.09.2003;Equinor Energy AS
GUDRUN;North Sea;Producing;1975;50,49;18,22;07.04.2014;Equinor Energy AS
GULLFAKS;North Sea;Producing;1978;416,67;14,3;22.12.1986;Equinor Energy AS
GULLFAKS SOR;North Sea;Producing;1978;181,1;31,65;10.10.1998;Equinor Energy AS
GUNGNE;North Sea;Producing;1982;25,25;0,47;21.04.1996;Equinor Energy AS
GYDA;North Sea;Shut down;1980;46,1;0;21.06.1990;null
HANZ;North Sea;Approved for production;1997;3,18;3,18;null;Aker BP ASA
HEIDRUN;Norwegian Sea;Producing;1985;258,18;61,88;18.10.1995;Equinor Energy AS
HEIMDAL;North Sea;Producing;1972;52,86;0;13.12.1985;Equinor Energy AS
HOD;North Sea;Producing;1974;18,98;6,66;30.09.1990;Aker BP ASA
HULDRA;North Sea;Shut down;1982;22,66;0;21.11.2001;Equinor Energy AS
HYME;Norwegian Sea;Producing;2009;4,63;2,26;02.03.2013;Equinor Energy AS
ISLAY;North Sea;Producing;null;0,1;0;10.04.2012;null
IVAR AASEN;North Sea;Producing;2008;28,31;11,86;24.12.2016;Aker BP ASA
